Subject,A,B
1,9.27,76.22
2,8.33,76.88
3,7.02,74.11
4,11.11,78.51
5,9.03,76.62
6,10.85,76.82
7,9.81,76.09
8,8.59,75.66
9,8.29,75.35
10,8.71,77.21
11,9.95,77.08
12,8.42,75.66
13,8.83,75.8
14,8.48,75.16
15,7.44,76.23
16,10.08,76.15
17,10.34,77.4
18,9.13,76.86
19,8.44,77.21
20,9.54,76.14
21,10.66,77.07
22,8.66,76.57
23,6.32,75.73
24,7.49,74.42
25,7.41,76.09
26,10.26,77.75
27,9.07,76.9
28,8.01,77.17
29,7.35,74.31
30,8.35,75.27
31,9.21,74.6
32,8.99,76.35
33,9.99,77.9
34,10.76,78.19
35,9.14,75.48
36,9.81,76
37,8.65,77.03
38,9.63,77.8
39,9.8,77.5
40,8.03,76.51
41,7.94,75.52
42,10.54,78.05
43,9.07,77.58
