Subject,A,B
1,2.94,51.84
2,4.57,53.74
3,4.22,52.2
4,4.84,53.58
5,4.73,54.3
6,3.18,53
7,4.66,52.82
8,4.12,53.72
9,4.11,54.76
10,3.38,53.91
11,6.06,54.45
12,4.48,53.12
13,3.28,53.34
14,5.13,52.44
15,6.47,54.02
16,3.81,54.22
17,4.94,53.93
18,5.6,53.16
19,3.81,54.37
20,4.48,53.43
21,4.09,51.71
22,4.87,53.77
23,5.39,54.08
24,4.07,52.25
25,3.96,52.36
26,5.04,52.35
27,3.96,53.06
28,6.41,54.48
29,5.76,53.56
30,5.46,54.48
31,2.85,51.29
32,4.83,53.97
33,4.98,54.11
34,3.95,52.92
35,2.45,53.01
36,3.57,50.42
37,4.1,54.16
38,3.43,52.37
39,5.28,52.01
40,5.83,52.82
41,6.22,54.59
42,4.6,51.81
43,4.56,53.2
44,6.21,53.1
45,5.95,54.52
46,4.06,52.99
47,4.27,52.36
