subject,treatment,values
62,A,119.33
103,B,-73.12
102,A,137.43
80,B,176.92
19,B,248.58
52,B,58.44
91,B,-6.05
63,A,96.39
37,B,74.48
2,A,129.53
23,A,116.03
78,A,86.62
24,A,169.58
57,A,154.35
4,B,202.67
84,A,98.58
111,A,64.68
61,A,119.56
107,B,139.76
90,A,137.03
46,A,125.33
119,B,408.83
74,B,175.73
114,B,-56.53
22,A,106.18
55,B,227.93
99,B,275.31
34,B,78.34
82,B,159.07
76,A,94.4
26,A,127.89
93,A,118.82
33,A,118.22
86,A,163.4
60,A,119.07
68,B,90.06
39,A,72.21
100,A,146.16
65,A,97.11
27,B,137.91
30,A,119.43
18,B,211.14
89,A,176.68
48,A,72.63
25,A,89.52
94,A,177.64
56,B,222.81
113,A,118.05
14,A,155.71
59,B,285.71
21,A,134.83
98,B,130.15
36,A,175.96
88,A,120.37
115,B,-151.24
116,A,79.7
38,B,49.76
7,B,244.09
1,B,249.16
54,A,148.18
66,A,139.42
5,A,143.44
97,A,147.09
28,B,106.29
72,A,128.8
112,A,76.66
6,B,127.1
50,A,115.41
12,B,378.36
79,A,85.06
87,B,336
106,A,141.63
101,B,227.62
117,A,163.28
29,B,15.26
9,A,105.77
3,A,114.17
110,B,29.6
15,B,-132.9
43,B,56.87
92,A,121.97
13,B,145.43
20,B,51.6
96,B,226.94
58,B,-34.78
85,B,253.59
53,A,109.02
40,B,174.41
81,B,77.49
17,A,160.66
32,A,82.66
69,A,103.81
71,B,78.48
42,B,83.73
67,B,71.02
41,A,102.65
118,B,139.46
104,B,-46.78
35,B,-59.93
45,B,123.98
109,A,119.52
75,A,112.53
47,B,192.45
44,A,94.5
10,B,233.01
11,B,304.7
49,B,62.27
83,B,77.35
51,A,120.8
95,B,104.53
77,B,279.49
105,A,99.59
73,A,113.63
31,A,109.06
108,B,36.84
8,B,-150.11
64,B,331.6
70,B,143.69
16,A,96.48
