subject,group,values
59,A,739.89
86,B,815.78
43,A,778.66
49,A,749.61
89,B,830.57
98,A,775.58
132,B,739.39
141,B,692.89
37,B,783.62
107,B,752.8
62,A,856.69
12,A,785.96
105,A,760.08
142,A,739.43
135,B,880.84
25,A,781.92
48,B,923.36
36,A,793.45
46,B,834.81
116,B,756.32
122,B,857.35
50,A,839.91
61,B,831.49
42,A,737.02
81,B,778.36
77,A,778.31
82,B,829.58
14,A,774.25
38,B,760.87
130,A,878.55
112,A,832.34
40,B,822.14
10,B,772.71
140,A,746.89
34,B,815.31
19,A,866.53
57,B,738.6
80,A,746.5
131,B,849.52
125,A,787.33
73,B,794.53
75,B,815.99
23,B,735.34
20,B,847.04
96,A,784.98
16,B,706.53
114,B,822.46
66,B,805.27
53,A,792.86
2,B,854.18
138,B,790.14
55,B,849.48
111,A,794.05
102,A,738.51
139,B,830.62
97,B,868.71
113,B,860.76
51,B,767.57
129,A,821
52,A,766.67
63,B,830.03
133,B,778.78
74,B,812.48
124,A,748.9
109,B,808.21
58,A,805.78
88,B,772.38
79,B,771.32
83,B,796.06
18,A,758.99
8,B,821.66
136,B,741.06
6,B,830.29
45,A,786.85
87,A,821.5
65,B,884.31
106,A,753.67
119,A,730.27
118,B,816.85
9,B,734.27
137,A,790.36
7,A,747.47
69,B,814.99
17,A,801.03
47,B,782.55
71,B,825.99
100,B,774.52
33,A,775.58
60,A,822.04
67,B,805.51
3,B,776.39
127,B,811.41
70,B,806.52
84,B,767.59
115,B,798.56
78,B,872.19
28,A,817.71
123,A,794.7
134,B,799.9
41,B,806.03
128,B,813.97
143,B,817.73
108,B,791.2
117,B,845.88
93,A,852.4
126,A,747.36
29,A,742.52
120,A,747.86
32,A,807.01
27,B,744.73
91,A,798.92
1,B,783.64
44,B,808.01
35,B,812.35
95,B,764.45
104,B,836.86
64,B,827.93
110,A,744.51
94,B,789.96
99,B,862.23
103,B,824.53
15,B,775.89
56,A,770.64
72,A,756.37
31,B,760.83
39,B,834.97
22,B,838.53
101,A,829.42
4,B,813.42
24,B,812.49
85,A,845.26
76,B,793.66
30,B,818.34
92,A,809.01
68,A,749.08
26,B,856.9
11,A,795.4
121,A,740.49
21,B,777.01
13,B,818.56
54,A,795.95
90,A,808.27
5,B,825.12
