subject,treatment,values
9,B,551.47
58,A,602.79
81,B,558.95
12,A,604.82
193,B,567.08
103,A,592.37
149,B,575.85
136,B,587.85
54,B,616.83
198,A,621.56
102,B,563.82
59,B,556.74
192,B,560.2
13,A,643.07
76,B,567.8
134,A,599.45
66,A,619.01
28,B,604.63
165,B,587
89,A,618.59
53,B,583.54
5,A,614.28
45,A,611.64
75,A,611.89
6,A,598.19
158,A,593.83
94,B,549.9
131,A,636.74
106,B,556.24
91,A,605.42
84,B,578.06
35,B,617.61
188,A,642.55
168,A,650.24
4,B,591.36
141,B,595.66
1,B,749.96
182,B,549.63
63,A,575.61
26,B,551.02
191,B,605.44
88,B,592.46
52,A,551.76
161,A,582.07
171,B,591.62
100,B,660.79
7,A,604.27
210,A,572.07
122,B,591.39
109,B,751.14
48,B,575.84
70,B,580.91
146,B,617.23
87,B,584.04
36,B,625.82
51,A,605.46
170,B,561.65
207,A,631.07
115,A,600.02
19,B,551.52
83,A,608.04
11,B,578.56
69,A,604.06
196,A,663
176,A,562.54
183,A,586.71
202,A,615.06
187,B,597.55
29,B,562.08
201,B,581.49
113,B,601.04
39,B,609.12
41,A,684.75
80,B,580.61
178,A,573.21
177,A,601.18
61,B,677
157,A,585.94
55,B,555.27
15,B,542.96
190,B,571.14
92,A,590.67
137,A,605.57
184,B,626
143,A,581.9
185,A,544.77
124,B,594.59
37,B,597.48
107,A,626.01
179,B,560.52
166,B,624.7
95,A,638.11
105,B,584.88
116,B,711.67
197,B,551.83
71,B,621.22
164,A,638.06
214,A,615.1
108,B,576.43
50,B,555.96
145,B,642.45
181,A,648.3
8,A,625.13
114,B,588.62
172,B,571.51
72,A,583.16
117,B,624.34
133,B,555.33
195,B,580.91
78,B,578.4
160,B,545.03
127,A,582.47
129,B,644.99
16,B,576.75
111,A,594.12
85,B,615.97
209,A,630.47
159,A,569.03
101,A,645.54
112,A,627.3
99,B,564.07
152,B,559.23
57,B,559.91
49,A,625.21
17,A,581.35
86,B,586.6
65,B,575.42
142,A,606.98
25,B,681.89
180,B,674.57
148,A,617.32
130,B,557.72
24,A,620.86
44,B,644.42
140,B,588.29
194,A,633.59
40,A,524.04
23,B,588.75
174,B,572.4
82,B,640.47
60,B,543.07
169,B,652.26
128,B,548.69
119,B,577.31
90,B,598.99
212,A,595.57
123,B,639.26
139,B,546.6
189,A,541.95
208,B,566.45
118,A,570.88
156,B,583.21
30,B,655.96
200,A,593.64
204,A,648.81
33,A,619.32
167,A,624.18
2,A,568.7
138,B,649.37
68,B,618.66
46,A,606.81
153,B,595.04
151,B,565.25
154,B,613.02
20,A,688.2
126,A,569.18
56,A,555.73
62,A,614.73
213,B,554.4
96,B,561.36
125,A,577.87
211,A,663.58
135,B,583.97
34,B,675.73
18,A,581.23
173,B,551.42
104,B,674.02
79,B,577.03
215,A,535.29
206,B,568.57
110,B,656.44
132,A,615.94
43,B,568.17
21,A,587.95
67,B,591.51
93,A,660
31,B,562.3
163,B,585.25
97,A,604.66
38,B,555.56
64,A,505.37
203,A,586.35
47,A,661.37
155,B,570.09
144,A,612.97
186,B,695.93
147,B,547.93
3,A,610.55
199,A,621.72
120,A,643.87
77,B,594.32
32,B,628.16
175,A,670.85
73,B,593.71
205,B,568.29
27,B,569.21
42,B,563.23
10,A,599.88
150,A,546.46
216,A,606.68
121,A,622.3
98,A,554.57
22,A,670.92
74,A,642.82
162,A,638.25
14,B,624.6
