subject,treatment,values
38,A,776.4
39,A,793
33,A,806.56
21,A,756.23
28,B,767.28
9,A,744.79
15,B,808.37
46,B,744.65
40,B,755.02
14,A,734.48
10,B,746.64
24,B,789.81
37,B,768.33
18,B,797.19
45,A,879.73
43,A,765.85
22,A,762.31
41,B,791.82
27,B,781.61
3,B,771.17
34,A,778.21
17,B,802.15
29,A,673.8
19,B,785.71
42,A,797.92
30,B,722.92
26,B,775.41
13,B,778.44
47,B,754.78
16,A,798.44
2,B,790.39
20,A,742.79
5,B,824.51
44,B,780.31
6,A,748.83
25,B,753.76
8,A,832.93
32,B,801.14
35,B,782.2
31,A,706.62
7,A,704.99
12,B,839.51
4,A,761.97
1,B,742.75
36,B,861.89
11,A,739.74
23,A,803.96
