subject,group,values
6,B,434.02
123,A,550.69
42,A,404.86
158,A,322.08
174,A,368.58
163,A,423.74
4,B,376.91
141,B,484.34
148,B,405.42
32,B,500.36
140,A,339.78
45,B,424.84
35,A,635.46
71,B,447.09
173,B,389.26
86,A,566.91
153,A,462.99
78,A,344.59
63,B,495.31
188,B,461.69
155,A,400.76
178,A,462.74
211,B,427.85
100,A,503.4
154,A,531.77
62,B,431.03
124,A,658.01
88,A,570.92
131,A,544.3
28,A,521.62
171,B,534.17
143,A,400.24
152,B,504.52
92,A,892.44
60,A,341.62
205,A,310.91
83,A,395.98
200,A,461.74
12,A,490.27
121,B,395.45
104,B,471.94
185,A,489.5
130,B,450.17
29,A,519
34,A,632.84
70,B,343.77
169,B,435.93
33,B,446.66
40,B,392.15
138,B,487.35
172,B,397.78
122,B,435.28
22,A,544.21
197,B,436.72
102,A,499.07
95,A,621.7
69,B,581.37
18,B,487.89
157,B,424.37
198,A,440.83
103,B,520.19
23,B,498.54
43,B,418.14
168,A,333.91
151,A,721.85
147,B,417.17
166,A,359.94
94,A,320.51
31,A,674.39
64,A,446.12
170,B,512.06
117,B,415.71
191,A,573.08
8,A,451.67
212,A,415.66
203,B,337.06
13,A,512.01
106,B,425.34
176,A,380.06
82,B,445.11
14,B,412.05
52,A,498.42
54,B,425.87
24,B,422.3
73,B,458.9
128,A,523.05
101,B,457.87
49,B,378.35
16,A,659.95
120,A,506.01
144,A,339.62
108,A,762.38
156,A,361.05
139,A,439.24
136,B,542.82
119,B,419.74
215,A,438.07
98,B,499.82
9,A,491.45
213,B,416.87
96,A,404.96
57,A,346.67
75,B,383.41
38,A,478.73
177,B,491.84
202,B,452.64
115,B,463.3
179,B,463.35
127,A,538.85
137,A,721.59
51,A,444.43
25,A,689.59
7,B,390.99
15,A,424.15
161,B,496.69
2,B,428.2
56,B,468.84
59,A,583.49
30,A,354.47
194,A,342.81
19,B,416.01
110,A,510.62
182,A,634.82
196,A,456.37
193,A,551.14
116,A,339.42
46,A,387.1
58,A,609.43
111,A,463.42
99,B,392.71
85,A,480.89
112,A,375.3
135,A,572.06
180,B,437.61
26,A,616.31
167,B,441.93
132,A,619.16
47,A,608.32
184,A,748.41
146,B,448.02
41,B,435.51
55,B,443.03
66,B,421.02
105,B,395.74
162,B,476.21
160,B,476.81
61,B,392.7
126,A,637.98
113,B,509.63
186,A,675.51
20,A,362.35
145,B,426.22
27,B,393.72
195,A,466.49
67,B,474
187,B,412.42
175,B,401.46
80,B,474.69
214,B,431.41
44,B,427.3
149,A,371.29
165,B,485.87
68,B,492.58
183,B,411.26
142,A,322.84
93,B,475.26
74,B,457.25
21,A,755.73
204,A,539.25
164,A,332.69
97,B,475.97
87,B,485.06
3,A,799.38
192,B,500.75
199,B,445.49
10,B,457.47
207,A,766.43
11,B,453.23
77,B,504.06
107,B,405.25
65,B,448.56
50,B,445.03
206,A,503.72
129,B,445.89
17,A,553.14
76,A,314.35
134,B,440.69
79,A,358.66
53,A,473.99
209,A,650.92
48,B,413.44
91,A,337.32
37,B,482.9
125,B,449.78
159,B,388.21
109,A,365.32
208,B,381.6
84,A,456.72
189,A,317.37
72,A,465.4
190,B,422.38
5,B,427.23
36,B,519.77
201,A,649.46
90,A,380.41
181,A,589.12
81,A,429.88
1,B,462.52
118,B,483.89
39,A,625.4
114,A,691.1
133,B,418.42
89,B,491.83
210,A,449.74
150,B,434.8
