subject,condition,values
199,B,163.08
47,B,342.82
197,A,238.4
234,A,246.85
98,B,360.21
174,B,251.81
30,A,217.27
218,B,-91.56
223,B,250.65
124,A,153.87
106,A,148.06
238,B,90.85
48,A,231.62
200,A,211.96
222,A,157.06
111,A,210.27
29,B,-20.76
179,A,193.48
9,A,187.18
5,B,250.35
172,B,174.86
193,B,257.91
153,A,137.64
52,A,200.58
38,B,368.22
35,B,218.22
159,B,33.88
123,B,287.53
43,A,185.59
157,B,278.9
230,B,230.66
54,B,415.66
149,B,114.53
45,B,422.73
138,B,134.5
24,B,292.79
192,A,240.27
245,B,344.28
205,A,205.04
126,B,430.12
112,B,337.78
2,B,-72.52
133,B,226.25
57,A,192.63
237,B,271.58
46,B,588.77
80,A,219.1
127,B,166.83
144,B,-21.26
40,B,172.7
7,B,257.26
25,B,143
189,B,188.74
202,A,230.39
116,A,221.5
233,A,253.53
181,A,197.13
68,B,23.17
114,A,213.78
39,B,328.76
42,B,161.7
27,B,645.96
90,B,58.73
36,B,133.35
176,A,226.76
171,A,267.56
61,A,162.18
173,A,199.32
162,A,188.27
135,B,83.87
110,B,593.04
186,B,551.59
241,B,234.31
215,B,141.26
18,B,211
115,B,351.58
242,B,621.77
21,B,-53.07
150,A,185.08
23,B,430.54
103,A,145.96
15,B,267
190,B,338.94
207,A,221.78
102,A,193.26
204,B,86.17
185,B,278.09
12,A,256.36
93,B,112
194,B,265.62
187,B,318.69
161,B,460.9
101,A,214.94
84,B,-104.38
108,A,182.18
59,B,532.88
88,B,358.93
14,B,422.57
41,A,196.11
221,B,270.35
70,B,247
177,A,229.44
201,A,199.04
34,A,192.3
167,B,498.85
146,B,55.28
163,A,222.78
152,B,77.17
240,B,79.62
170,B,-119.62
175,B,311.23
137,A,241.83
147,A,168.68
165,B,128.94
164,B,-26.07
97,B,263.05
49,B,-61.72
232,A,195.77
82,A,202.07
160,B,153.21
118,A,175.81
16,A,222.24
229,B,319.35
188,A,195.32
4,A,258.78
228,A,196.26
78,B,464.29
121,A,171.12
37,A,233.91
92,A,224.69
211,B,38.38
243,B,117.71
8,A,170.97
143,A,238.5
210,B,484.83
26,B,259.38
139,B,352.01
32,A,140.27
63,B,359.69
236,A,209.42
136,A,166.71
128,A,223.5
33,A,168.86
227,A,285.07
122,A,274.13
132,B,273.5
89,B,-18.66
198,A,240.53
11,B,102.32
96,B,366.9
154,A,245.98
13,B,215.24
145,A,176.02
120,B,88.87
3,A,207.96
76,B,414.92
141,B,113.98
77,B,301.41
156,B,116.07
17,B,267.11
148,B,375.15
140,B,399.87
20,A,180.19
226,B,421.05
104,B,364.46
183,B,301.58
191,B,289.73
155,A,226.21
51,B,203.85
65,B,532.59
85,B,297.2
203,A,182.89
178,B,574.66
217,B,144.52
83,B,246.78
231,B,250.22
225,A,206.3
64,A,136.01
19,B,445.52
168,B,432.69
206,B,260.62
71,B,234.75
130,B,605.45
79,B,352.95
50,B,249.75
219,A,167.5
60,B,358.09
72,B,686.97
119,A,243.6
224,B,196.8
58,A,192.31
53,A,172.85
10,A,208.35
69,B,371.62
66,A,191.5
182,A,164.88
99,B,441.22
87,A,217.6
56,B,400.54
166,B,327.22
62,B,411.87
91,B,17.61
1,B,241.44
55,A,236.88
117,A,245.24
113,A,213.58
220,B,113.05
74,A,150.53
134,B,44.43
158,A,262
216,B,203.67
196,A,206.84
67,B,477.37
75,B,453.04
235,A,235.4
105,B,48.2
184,A,167.26
109,B,280.38
129,B,79.11
214,B,3.47
213,A,273.94
142,A,239.55
22,B,-147.92
94,B,374.59
244,A,285.01
86,A,253.78
208,B,418.99
209,B,59.71
28,A,200.12
81,B,500.78
151,A,176.84
131,A,271.34
100,B,57.77
212,B,108.67
125,B,407.38
95,B,71.47
31,B,64.41
180,B,278.21
169,A,183.42
239,B,64.62
195,A,180.78
107,A,259.63
44,A,247.08
73,A,170.15
6,B,111.98
